Run ID,Type,Angle,Intensity
Centered Gaussian,Y Angle,-90,2.59E-16
Centered Gaussian,Y Angle,-88.1818,1.31E-15
Centered Gaussian,Y Angle,-86.3636,6.39E-15
Centered Gaussian,Y Angle,-84.5455,3.02E-14
Centered Gaussian,Y Angle,-82.7273,1.38E-13
Centered Gaussian,Y Angle,-80.9091,6.12E-13
Centered Gaussian,Y Angle,-79.0909,2.62E-12
Centered Gaussian,Y Angle,-77.2727,1.09E-11
Centered Gaussian,Y Angle,-75.4545,4.35E-11
Centered Gaussian,Y Angle,-73.6364,1.69E-10
Centered Gaussian,Y Angle,-71.8182,6.33E-10
Centered Gaussian,Y Angle,-70,2.30E-09
Centered Gaussian,Y Angle,-68.1818,8.07E-09
Centered Gaussian,Y Angle,-66.3636,2.74E-08
Centered Gaussian,Y Angle,-64.5455,9.02E-08
Centered Gaussian,Y Angle,-62.7273,2.87E-07
Centered Gaussian,Y Angle,-60.9091,8.83E-07
Centered Gaussian,Y Angle,-59.0909,2.63E-06
Centered Gaussian,Y Angle,-57.2727,7.57E-06
Centered Gaussian,Y Angle,-55.4545,2.11E-05
Centered Gaussian,Y Angle,-53.6364,5.69E-05
Centered Gaussian,Y Angle,-51.8182,0.000148293
Centered Gaussian,Y Angle,-50,0.000374208
Centered Gaussian,Y Angle,-48.1818,0.000913584
Centered Gaussian,Y Angle,-46.3636,0.00215787
Centered Gaussian,Y Angle,-44.5455,0.00493114
Centered Gaussian,Y Angle,-42.7273,0.0109021
Centered Gaussian,Y Angle,-40.9091,0.0233195
Centered Gaussian,Y Angle,-39.0909,0.048258
Centered Gaussian,Y Angle,-37.2727,0.0966191
Centered Gaussian,Y Angle,-35.4545,0.187154
Centered Gaussian,Y Angle,-33.6364,0.350736
Centered Gaussian,Y Angle,-31.8182,0.635921
Centered Gaussian,Y Angle,-30,1.1155
Centered Gaussian,Y Angle,-28.1818,1.89312
Centered Gaussian,Y Angle,-26.3636,3.10836
Centered Gaussian,Y Angle,-24.5455,4.93773
Centered Gaussian,Y Angle,-22.7273,7.58868
